,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
3123,CUNDINAMARCA,SOACHA,25754,COMBUSTIBLE,2019-05-01,1
3124,META,URIBE,50370,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-02,1
3125,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,ARMA DE FUEGO,2019-05-03,1
3126,ARAUCA,SARAVENA,81736,ARMA DE FUEGO,2019-05-04,1
3127,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-10,1
3128,NARIÑO,RICAURTE,52612,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-11,1
3129,ARAUCA,FORTUL,81300,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-15,3
3130,ANTIOQUIA,TARAZA,5790,GRANADA DE MANO,2019-05-16,1
3131,ARAUCA,TAME,81794,GRANADA DE MANO,2019-05-16,1
3132,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-17,1
3133,ARAUCA,ARAUQUITA,81065,MOTO BOMBA,2019-05-19,1
3134,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-21,1
3135,ANTIOQUIA,TARAZA,5790,MINA ANTIPERSONA,2019-05-25,1
3136,ARAUCA,ARAUCA,81001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-26,1
3137,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-26,1
3138,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-05-31,1
3139,CHOCÓ,TADÓ,27787,COMBUSTIBLE,2019-06-03,1
3140,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-07,1
3141,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-07,2
3142,ARAUCA,TAME,81794,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-09,1
3143,ARAUCA,FORTUL,81300,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-11,1
3144,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-24,1
3145,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-25,1
3146,ARAUCA,ARAUCA,81001,GRANADA DE MANO,2019-06-25,1
3147,ANTIOQUIA,SEGOVIA,5736,GRANADA DE MANO,2019-06-27,1
3148,ANTIOQUIA,TARAZA,5790,MINA ANTIPERSONA,2019-06-27,1
3149,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-27,1
3150,ARAUCA,TAME,81794,GRANADA DE MANO,2019-06-28,1
3151,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-29,1
3152,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-06-30,1
3153,ARAUCA,ARAUCA,81001,GRANADA DE MANO,2019-07-01,2
3154,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-02,1
3155,ARAUCA,FORTUL,81300,GRANADA DE MANO,2019-07-03,1
3156,ARAUCA,FORTUL,81300,GRANADA DE MANO,2019-07-04,2
3157,NARIÑO,EL CHARCO,52250,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-07,1
3158,ARAUCA,TAME,81794,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-09,1
3159,CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-10,1
3160,NARIÑO,CUMBITARA,52233,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-11,1
3161,ANTIOQUIA,CAUCASIA,5154,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-12,1
3162,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2019-07-12,1
3163,ANTIOQUIA,ZARAGOZA,5895,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-18,1
3164,ARAUCA,FORTUL,81300,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-18,1
3165,ANTIOQUIA,TARAZA,5790,MINA ANTIPERSONA,2019-07-19,1
3166,NORTE DE SANTANDER,CÚCUTA,54001,GRANADA DE MANO,2019-07-20,1
3167,ANTIOQUIA,VALDIVIA,5854,COMBUSTIBLE,2019-07-21,1
3168,ANTIOQUIA,VALDIVIA,5854,COMBUSTIBLE,2019-07-22,1
3169,ANTIOQUIA,VALDIVIA,5854,NO REPORTADO,2019-07-22,1
3170,ANTIOQUIA,BARBOSA,5079,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-24,1
3171,ANTIOQUIA,ITUANGO,5361,MINA ANTIPERSONA,2019-07-24,1
3172,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-24,1
3173,ARAUCA,TAME,81794,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-24,1
3174,ARAUCA,TAME,81794,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-26,2
3175,ARAUCA,SARAVENA,81736,CILINDRO BOMBA,2019-07-26,1
3176,ANTIOQUIA,ZARAGOZA,5895,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-07-28,2
3177,ARAUCA,ARAUQUITA,81065,ARTEFACTO INCENDIARIO,2019-07-28,1
3178,ANTIOQUIA,ITUANGO,5361,MINA ANTIPERSONA,2019-07-30,1
3179,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-01,1
3180,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-05,1
3181,ANTIOQUIA,YALI,5885,ARTEFACTO INCENDIARIO,2019-08-08,1
3182,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-09,1
3183,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-13,1
3184,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-16,1
3185,ANTIOQUIA,ANORI,5040,GRANADA DE MANO,2019-08-17,1
3186,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-18,1
3187,ANTIOQUIA,TARAZA,5790,GRANADA DE MANO,2019-08-18,1
3188,ARAUCA,FORTUL,81300,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-08-21,1
3189,ANTIOQUIA,TARAZA,5790,MINA ANTIPERSONA,2019-08-23,1
3190,ANTIOQUIA,VEGACHI,5858,MINA ANTIPERSONA,2019-08-27,1
3191,MAGDALENA,EL RETÉN,47268,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-09-01,1
3192,ANTIOQUIA,ITUANGO,5361,BALON BOMBA,2019-09-08,1
3193,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-09-13,1
3194,ANTIOQUIA,ITUANGO,5361,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-09-16,1
3195,NARIÑO,TUMACO,52835,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-09-18,1
3196,NARIÑO,TUMACO,52835,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-09-19,1
3197,ANTIOQUIA,ITUANGO,5361,MINA ANTIPERSONA,2019-09-20,1
3198,ANTIOQUIA,ZARAGOZA,5895,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-09-22,1
3199,ANTIOQUIA,TARAZA,5790,GRANADA DE MANO,2019-09-27,1
3200,ANTIOQUIA,ITUANGO,5361,MINA ANTIPERSONA,2019-09-28,1
3201,ANTIOQUIA,REMEDIOS,5604,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-10-01,1
3202,META,VILLAVICENCIO,50001,ARMA DE FUEGO,2019-10-08,1
3203,NARIÑO,PASTO,52001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-10-09,1
3204,ANTIOQUIA,ANORI,5040,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-10-21,1
3205,ANTIOQUIA,VALDIVIA,5854,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-10-27,1
3206,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-10-30,2
3207,ARAUCA,FORTUL,81300,ARMA DE FUEGO,2019-11-08,1
