,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
0,PUTUMAYO,MOCOA,86001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-05,1
1,ARAUCA,TAME,81794,ARTEFACTO INCENDIARIO,2010-01-06,1
2,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-01-06,1
3,ARAUCA,FORTUL,81300,CILINDRO BOMBA,2010-01-07,1
4,META,URIBE,50370,MINA ANTIPERSONA,2010-01-11,1
5,PUTUMAYO,MOCOA,86001,COMBUSTIBLE,2010-01-13,1
6,META,PUERTO RICO,50590,MINA ANTIPERSONA,2010-01-14,1
7,VALLE DEL CAUCA,BUENAVENTURA,76109,OLLA BOMBA,2010-01-14,1
8,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-15,1
9,META,URIBE,50370,GRANADA DE MANO,2010-01-15,1
10,LA GUAJIRA,BARRANCAS,44078,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-17,1
11,ANTIOQUIA,MEDELLIN,5001,GRANADA DE MANO,2010-01-18,1
12,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-18,1
13,META,GRANADA,50313,GRANADA DE MANO,2010-01-19,1
14,META,MESETAS,50330,GRANADA DE MANO,2010-01-19,1
15,ANTIOQUIA,URRAO,5847,ARTEFACTO INCENDIARIO,2010-01-20,1
16,HUILA,NEIVA,41001,GRANADA DE MANO,2010-01-20,1
17,VALLE DEL CAUCA,BUENAVENTURA,76109,PAQUETE BOMBA,2010-01-20,1
18,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-21,1
19,CAUCA,SANTANDER DE QUILICHAO,19698,PAQUETE BOMBA,2010-01-21,1
20,PUTUMAYO,PUERTO ASÍS,86568,GRANADA DE MANO,2010-01-22,1
21,ANTIOQUIA,GUADALUPE,5315,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-01-25,1
22,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-01-28,1
23,SANTANDER,ONZAGA,68502,NO REPORTADO,2010-01-31,1
24,ANTIOQUIA,MEDELLIN,5001,GRANADA DE MANO,2010-02-02,1
25,HUILA,PITALITO,41551,ARTEFACTO INCENDIARIO,2010-02-02,1
26,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-02-05,1
27,META,URIBE,50370,GRANADA DE MANO,2010-02-06,1
28,NARIÑO,SAMANIEGO,52678,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-02-07,1
29,META,URIBE,50370,MINA ANTIPERSONA,2010-02-09,1
30,ANTIOQUIA,BELLO,5088,GRANADA DE MANO,2010-02-10,1
31,HUILA,NEIVA,41001,GRANADA DE MANO,2010-02-11,1
32,ARAUCA,ARAUQUITA,81065,COMBUSTIBLE,2010-02-12,1
33,GUAVIARE,SAN JOSÉ DEL GUAVIARE,95001,NO REPORTADO,2010-02-13,1
34,GUAVIARE,SAN JOSÉ DEL GUAVIARE,95001,GRANADA DE MANO,2010-02-14,1
35,HUILA,VILLAVIEJA,41872,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-02-14,1
36,SANTANDER,SABANA DE TORRES,68655,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-02-14,1
37,ARAUCA,ARAUCA,81001,GRANADA DE MANO,2010-02-18,1
38,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-02-22,1
39,VALLE DEL CAUCA,CALI,76001,PETARDO PLANFETARIO,2010-02-22,2
40,LA GUAJIRA,VILLANUEVA,44874,GRANADA DE MANO,2010-02-24,1
41,CAUCA,PURACÉ,19585,CILINDRO BOMBA,2010-02-25,1
42,HUILA,NEIVA,41001,GRANADA DE MANO,2010-02-25,1
43,NORTE DE SANTANDER,SARDINATA,54720,ARTEFACTO INCENDIARIO,2010-02-28,1
44,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO INCENDIARIO,2010-02-28,1
45,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-02,1
46,TOLIMA,CHAPARRAL,73168,PAQUETE BOMBA,2010-03-05,1
47,ANTIOQUIA,GUADALUPE,5315,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-06,1
48,ARAUCA,SARAVENA,81736,GRANADA DE MANO,2010-03-06,1
49,CAUCA,SANTANDER DE QUILICHAO,19698,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-06,1
50,CASANARE,TÁMARA,85400,COMBUSTIBLE,2010-03-07,1
51,PUTUMAYO,PUERTO GUZMÁN,86571,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-07,1
52,META,VISTA HERMOSA,50711,MINA ANTIPERSONA,2010-03-10,1
53,TOLIMA,IBAGUÉ,73001,PAQUETE BOMBA,2010-03-10,1
54,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-03-11,1
55,NORTE DE SANTANDER,EL TARRA,54250,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-11,1
56,ARAUCA,CRAVO NORTE,81220,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-13,1
57,TOLIMA,ROVIRA,73624,ARTEFACTO INCENDIARIO,2010-03-13,1
58,VALLE DEL CAUCA,DAGUA,76233,COMBUSTIBLE,2010-03-22,1
59,ARAUCA,TAME,81794,COMBUSTIBLE,2010-03-24,1
60,VALLE DEL CAUCA,BUENAVENTURA,76109,CARRO BOMBA,2010-03-24,1
61,CÓRDOBA,MONTELÍBANO,23466,GRANADA DE MANO,2010-03-25,1
62,NARIÑO,EL CHARCO,52250,PERSONA BOMBA,2010-03-25,1
63,RISARALDA,PEREIRA,66001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-03-25,1
64,BOYACA,SOCOTÁ,15755,COMBUSTIBLE,2010-03-28,1
65,HUILA,NEIVA,41001,GRANADA DE MANO,2010-03-28,1
66,META,VILLAVICENCIO,50001,ROCKET,2010-03-29,1
67,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-03-31,1
68,VALLE DEL CAUCA,FLORIDA,76275,ARTEFACTO INCENDIARIO,2010-04-03,1
69,ARAUCA,TAME,81794,ARTEFACTO INCENDIARIO,2010-04-04,1
70,LA GUAJIRA,RIOHACHA,44001,GRANADA DE MANO,2010-04-04,1
71,NORTE DE SANTANDER,CONVENCIÓN,54206,MINA ANTIPERSONA,2010-04-04,1
72,NORTE DE SANTANDER,HACARÍ,54344,MINA ANTIPERSONA,2010-04-04,1
73,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-04-05,1
74,META,EL CASTILLO,50251,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-08,1
75,TOLIMA,LÍBANO,73411,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-08,1
76,MAGDALENA,CIÉNAGA,47189,GRANADA DE MANO,2010-04-09,1
77,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-09,1
78,VALLE DEL CAUCA,FLORIDA,76275,ARTEFACTO INCENDIARIO,2010-04-09,1
79,ANTIOQUIA,MEDELLIN,5001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-12,1
80,TOLIMA,CHAPARRAL,73168,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-12,1
81,PUTUMAYO,PUERTO GUZMÁN,86571,NO REPORTADO,2010-04-13,1
82,HUILA,NEIVA,41001,GRANADA DE MANO,2010-04-16,1
83,ANTIOQUIA,MEDELLIN,5001,GRANADA DE MANO,2010-04-17,1
84,TOLIMA,CHAPARRAL,73168,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-18,1
85,CALDAS,MANIZALES,17001,GRANADA DE MANO,2010-04-19,1
86,TOLIMA,CHAPARRAL,73168,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-20,1
87,NARIÑO,PASTO,52001,GRANADA DE MANO,2010-04-21,1
88,META,PUERTO LLERAS,50577,ARTEFACTO INCENDIARIO,2010-04-22,1
89,META,VISTA HERMOSA,50711,MINA ANTIPERSONA,2010-04-22,1
90,NORTE DE SANTANDER,TEORAMA,54800,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-25,1
91,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-26,1
92,CAUCA,CORINTO,19212,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-04-26,1
93,CAUCA,GUAPI,19318,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-02,1
94,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO INCENDIARIO,2010-05-02,1
95,TOLIMA,IBAGUÉ,73001,PAQUETE BOMBA,2010-05-02,1
96,CÓRDOBA,LA APARTADA,23350,GRANADA DE MANO,2010-05-05,1
97,LA GUAJIRA,DIBULLA,44090,GRANADA DE MANO,2010-05-05,1
98,ANTIOQUIA,TARAZA,5790,MINA ANTIPERSONA,2010-05-08,1
99,HUILA,NEIVA,41001,GRANADA DE MANO,2010-05-08,1
100,ARAUCA,ARAUQUITA,81065,ARTEFACTO INCENDIARIO,2010-05-09,1
101,CAQUETÁ,EL PAUJIL,18256,COMBUSTIBLE,2010-05-09,1
102,ARAUCA,SARAVENA,81736,BICICLETA BOMBA,2010-05-10,1
103,ANTIOQUIA,SAN ANDRES,5647,ARTEFACTO INCENDIARIO,2010-05-12,1
104,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-15,1
105,ANTIOQUIA,TOLEDO,5819,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-17,1
106,CHOCÓ,TADÓ,27787,GRANADA DE MANO,2010-05-17,1
107,META,VISTA HERMOSA,50711,MINA ANTIPERSONA,2010-05-17,1
108,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-05-18,1
109,META,VISTA HERMOSA,50711,MINA ANTIPERSONA,2010-05-19,1
110,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-05-20,1
111,META,VISTA HERMOSA,50711,MINA ANTIPERSONA,2010-05-20,1
112,CÓRDOBA,TIERRALTA,23807,GRANADA DE MANO,2010-05-21,1
113,META,URIBE,50370,MINA ANTIPERSONA,2010-05-22,1
114,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO INCENDIARIO,2010-05-22,1
115,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-05-23,1
116,HUILA,NEIVA,41001,CANTINA BOMBA,2010-05-23,1
117,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-05-24,1
118,CALDAS,MANIZALES,17001,PETARDO PLANFETARIO,2010-05-25,1
119,NARIÑO,PASTO,52001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-25,1
120,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-26,1
121,PUTUMAYO,PUERTO CAICEDO,86569,ARTEFACTO INCENDIARIO,2010-05-28,1
122,RISARALDA,PEREIRA,66001,PAQUETE BOMBA,2010-05-28,1
123,ANTIOQUIA,GUADALUPE,5315,CILINDRO BOMBA,2010-05-29,1
124,CAUCA,PIENDAMÓ,19548,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-29,1
125,CAUCA,EL TAMBO,19256,ARTEFACTO INCENDIARIO,2010-05-30,1
126,ARAUCA,TAME,81794,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-05-31,1
127,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-06-02,1
128,BOGOTA D.C.,BOGOTÁ D.C.,11001,GRANADA DE MANO,2010-06-02,1
129,CAUCA,POPAYÁN,19001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-03,1
130,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-06-05,1
131,ANTIOQUIA,VALDIVIA,5854,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-07,1
132,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-06-07,1
133,NARIÑO,SAMANIEGO,52678,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-09,1
134,ANTIOQUIA,SANTA ROSA DE OSOS,5686,GRANADA DE MANO,2010-06-10,1
135,TOLIMA,ESPINAL,73268,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-10,1
136,ANTIOQUIA,APARTADO,5045,PAQUETE BOMBA,2010-06-11,1
137,PUTUMAYO,PUERTO ASÍS,86568,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-11,1
138,MAGDALENA,SANTA MARTA,47001,GRANADA DE MANO,2010-06-14,1
139,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-06-16,1
140,CAUCA,PURACÉ,19585,ARTEFACTO INCENDIARIO,2010-06-18,1
141,ANTIOQUIA,YARUMAL,5887,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-19,1
142,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO INCENDIARIO,2010-06-19,1
143,TOLIMA,PLANADAS,73555,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-19,1
144,HUILA,PITALITO,41551,COMBUSTIBLE,2010-06-20,1
145,NARIÑO,SAMANIEGO,52678,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-20,1
146,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-20,1
147,TOLIMA,CHAPARRAL,73168,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-21,1
148,CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,COMBUSTIBLE,2010-06-22,1
149,ANTIOQUIA,YARUMAL,5887,ARTEFACTO INCENDIARIO,2010-06-24,1
150,HUILA,NEIVA,41001,GRANADA DE MANO,2010-06-24,1
151,CHOCÓ,TADÓ,27787,GRANADA DE MANO,2010-06-26,1
152,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-27,1
153,TOLIMA,LÍBANO,73411,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-06-27,1
154,HUILA,ALGECIRAS,41020,COMBUSTIBLE,2010-06-28,1
155,HUILA,ISNOS,41359,COMBUSTIBLE,2010-06-28,1
156,HUILA,NEIVA,41001,GRANADA DE MANO,2010-06-30,1
157,HUILA,PALERMO,41524,GRANADA DE MANO,2010-07-01,1
158,ANTIOQUIA,GUADALUPE,5315,GRANADA DE MANO,2010-07-05,1
159,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-07-07,1
160,LA GUAJIRA,RIOHACHA,44001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-08,1
161,CAUCA,CALDONO,19137,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-09,1
162,NORTE DE SANTANDER,EL TARRA,54250,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-12,1
163,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-13,1
164,HUILA,SUAZA,41770,COMBUSTIBLE,2010-07-14,1
165,CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-15,1
166,TOLIMA,CHAPARRAL,73168,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-16,1
167,HUILA,AIPE,41016,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-19,1
168,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-20,2
169,ANTIOQUIA,ANORI,5040,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-21,1
170,ANTIOQUIA,ANORI,5040,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-23,1
171,ARAUCA,ARAUCA,81001,GRANADA DE MANO,2010-07-26,1
172,TOLIMA,PLANADAS,73555,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-07-26,1
173,ANTIOQUIA,MEDELLIN,5001,GRANADA DE MANO,2010-07-31,1
174,ARAUCA,ARAUCA,81001,GRANADA DE MANO,2010-08-01,1
175,TOLIMA,CHAPARRAL,73168,CABALLO BOMBA,2010-08-01,1
176,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-02,1
177,META,VISTA HERMOSA,50711,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-04,1
178,CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-05,1
179,CAQUETÁ,FLORENCIA,18001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-05,1
180,SANTANDER,BUCARAMANGA,68001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-05,1
181,ANTIOQUIA,TOLEDO,5819,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-06,1
182,NORTE DE SANTANDER,CONVENCIÓN,54206,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-06,1
183,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-08-11,1
184,NARIÑO,SANDONÁ,52683,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-11,1
185,BOGOTA D.C.,BOGOTÁ D.C.,11001,CARRO BOMBA,2010-08-12,1
186,ANTIOQUIA,CAUCASIA,5154,GRANADA DE MANO,2010-08-14,1
187,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-14,1
188,ARAUCA,ARAUQUITA,81065,COMBUSTIBLE,2010-08-16,1
189,NARIÑO,CÓRDOBA,52215,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-16,1
190,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-08-20,1
191,HUILA,TELLO,41799,COMBUSTIBLE,2010-08-23,1
192,HUILA,BARAYA,41078,PAQUETE BOMBA,2010-08-27,1
193,ANTIOQUIA,SAN ANDRES,5647,ARTEFACTO INCENDIARIO,2010-08-30,1
194,CAUCA,CALOTO,19142,CILINDRO BOMBA,2010-08-30,1
195,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-08-30,1
196,NARIÑO,PUPIALES,52585,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-31,1
197,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-31,1
198,TOLIMA,ORTEGA,73504,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-08-31,1
199,ANTIOQUIA,TOLEDO,5819,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-09-01,1
200,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-09-04,1
201,CASANARE,YOPAL,85001,PAQUETE BOMBA,2010-09-05,1
202,NARIÑO,SANTA CRUZ,52699,ARTEFACTO INCENDIARIO,2010-09-06,1
203,NARIÑO,PASTO,52001,PAQUETE BOMBA,2010-09-08,1
204,HUILA,IQUIRA,41357,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-09-11,1
205,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-09-17,1
206,NARIÑO,PASTO,52001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-09-18,1
207,ANTIOQUIA,YARUMAL,5887,GRANADA DE MANO,2010-09-19,1
208,LA GUAJIRA,ALBANIA,44035,ARTEFACTO INCENDIARIO,2010-09-23,1
209,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-09-25,1
210,ARAUCA,SARAVENA,81736,GRANADA DE MANO,2010-09-26,1
211,ARAUCA,TAME,81794,CARRO BOMBA,2010-09-26,1
212,HUILA,NEIVA,41001,ARTEFACTO INCENDIARIO,2010-09-26,1
213,ARAUCA,SARAVENA,81736,GRANADA DE MANO,2010-09-29,1
214,NARIÑO,TUMACO,52835,GRANADA DE MANO,2010-10-02,1
215,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-03,1
216,NARIÑO,BARBACOAS,52079,GRANADA DE MANO,2010-10-03,1
217,TOLIMA,ROVIRA,73624,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-07,1
218,CAUCA,SILVIA,19743,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-10,1
219,ARAUCA,SARAVENA,81736,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-12,1
220,ARAUCA,PUERTO RONDÓN,81591,GRANADA DE MANO,2010-10-13,1
221,ARAUCA,TAME,81794,MOTO BOMBA,2010-10-16,1
222,CAUCA,PIAMONTE,19533,ARTEFACTO INCENDIARIO,2010-10-16,1
223,NARIÑO,TUMACO,52835,GRANADA DE MANO,2010-10-16,1
224,ANTIOQUIA,BELLO,5088,GRANADA DE MANO,2010-10-19,1
225,TOLIMA,IBAGUÉ,73001,PAQUETE BOMBA,2010-10-19,1
226,GUAVIARE,SAN JOSÉ DEL GUAVIARE,95001,NO REPORTADO,2010-10-20,1
227,TOLIMA,ORTEGA,73504,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-23,1
228,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-25,1
229,TOLIMA,ROVIRA,73624,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-25,1
230,LA GUAJIRA,RIOHACHA,44001,GRANADA DE MANO,2010-10-27,1
231,TOLIMA,CAJAMARCA,73124,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-10-27,1
232,META,VISTA HERMOSA,50711,COMBUSTIBLE,2010-10-28,1
233,ARAUCA,SARAVENA,81736,GRANADA DE MANO,2010-10-31,2
234,META,VILLAVICENCIO,50001,GRANADA DE MANO,2010-10-31,1
235,META,MESETAS,50330,MINA ANTIPERSONA,2010-10-31,1
236,CAUCA,GUACHENE,19300,GRANADA DE MANO,2010-11-03,1
237,META,MESETAS,50330,GRANADA DE MANO,2010-11-03,1
238,META,VILLAVICENCIO,50001,PAQUETE BOMBA,2010-11-03,1
239,VALLE DEL CAUCA,BUENAVENTURA,76109,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-09,1
240,ARAUCA,SARAVENA,81736,COMBUSTIBLE,2010-11-16,1
241,LA GUAJIRA,RIOHACHA,44001,GRANADA DE MANO,2010-11-16,1
242,META,SAN JUAN DE ARAMA,50683,COMBUSTIBLE,2010-11-16,1
243,ANTIOQUIA,VALDIVIA,5854,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-19,1
244,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-19,1
245,META,GRANADA,50313,ARTEFACTO INCENDIARIO,2010-11-19,1
246,TOLIMA,RONCESVALLES,73622,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-19,1
247,NORTE DE SANTANDER,TIBÚ,54810,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-20,1
248,NORTE DE SANTANDER,CONVENCIÓN,54206,GRANADA DE MANO,2010-11-20,1
249,NORTE DE SANTANDER,TEORAMA,54800,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-22,1
250,HUILA,AIPE,41016,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-24,1
251,PUTUMAYO,VALLE DEL GUAMUEZ,86865,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-24,1
252,CAQUETÁ,CARTAGENA DEL CHAIRÁ,18150,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-27,1
253,BOGOTA D.C.,BOGOTÁ D.C.,11001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-27,1
254,NORTE DE SANTANDER,SAN CALIXTO,54670,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-11-28,1
255,PUTUMAYO,VALLE DEL GUAMUEZ,86865,NO REPORTADO,2010-11-28,1
256,HUILA,NEIVA,41001,CARRO BOMBA,2010-11-30,1
257,HUILA,AIPE,41016,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-02,1
258,HUILA,ISNOS,41359,COMBUSTIBLE,2010-12-02,1
259,NORTE DE SANTANDER,SAN CALIXTO,54670,GRANADA DE MANO,2010-12-02,1
260,TOLIMA,CAJAMARCA,73124,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-02,1
261,ATLANTICO,LURUACO,8421,GRANADA DE MANO,2010-12-04,1
262,HUILA,NEIVA,41001,GRANADA DE MANO,2010-12-04,1
263,ARAUCA,PUERTO RONDÓN,81591,GRANADA DE MANO,2010-12-07,1
264,ARAUCA,TAME,81794,COMBUSTIBLE,2010-12-08,1
265,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-09,1
266,BOYACA,LABRANZAGRANDE,15377,COMBUSTIBLE,2010-12-11,1
267,CHOCÓ,TADÓ,27787,ARTEFACTO INCENDIARIO,2010-12-11,1
268,QUINDIO,ARMENIA,63001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-11,1
269,LA GUAJIRA,RIOHACHA,44001,GRANADA DE MANO,2010-12-12,1
270,TOLIMA,ROVIRA,73624,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-12,1
271,HUILA,NEIVA,41001,GRANADA DE MANO,2010-12-14,1
272,QUINDIO,CALARCÁ,63130,PAQUETE BOMBA,2010-12-14,1
273,PUTUMAYO,VALLE DEL GUAMUEZ,86865,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-15,1
274,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-18,1
275,CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,GRANADA DE MANO,2010-12-20,1
276,TOLIMA,IBAGUÉ,73001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2010-12-20,1
277,HUILA,NEIVA,41001,GRANADA DE MANO,2010-12-23,1
278,CAUCA,SOTARÁ,19760,ARTEFACTO INCENDIARIO,2010-12-24,1
279,BOYACA,CUBARÁ,15223,ARTEFACTO INCENDIARIO,2010-12-28,2
280,NARIÑO,EL CHARCO,52250,GRANADA DE MANO,2010-12-28,1
281,ARAUCA,SARAVENA,81736,ARTEFACTO INCENDIARIO,2010-12-29,1
282,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2011-01-02,1
283,HUILA,NEIVA,41001,GRANADA DE MANO,2011-01-02,1
284,ARAUCA,TAME,81794,GRANADA DE MANO,2011-01-03,1
285,HUILA,NEIVA,41001,GRANADA DE MANO,2011-01-04,1
286,META,URIBE,50370,MINA ANTIPERSONA,2011-01-04,1
287,LA GUAJIRA,FONSECA,44279,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2011-01-06,1
288,HUILA,NEIVA,41001,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2011-01-06,1
289,META,SAN MARTÍN,50689,GRANADA DE MANO,2011-01-10,1
290,LA GUAJIRA,FONSECA,44279,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2011-01-11,1
