,FECHA HECHO,COD_DEPTO,DEPARTAMENTO,CODIGO DANE,MUNICIPIO,TIPO DELITO,CANTIDAD,MES DE SECUESTRO
11040,2002-08-02,50,META,50001,VILLAVICENCIO,SECUESTRO EXTORSIVO,2,8
11041,2002-08-02,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,8
11042,2002-08-02,52,NARIÑO,52001,PASTO,SECUESTRO SIMPLE,2,8
11043,2002-08-03,8,ATLÁNTICO,8832,TUBARA,SECUESTRO EXTORSIVO,1,8
11044,2002-08-03,13,BOLÍVAR,13442,MARIA LA BAJA,SECUESTRO EXTORSIVO,1,8
11045,2002-08-03,20,CESAR,20001,VALLEDUPAR,SECUESTRO SIMPLE,1,8
11046,2002-08-03,25,CUNDINAMARCA,25594,QUETAME,SECUESTRO SIMPLE,1,8
11047,2002-08-03,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,8
11048,2002-08-04,5,ANTIOQUIA,5197,COCORNA,SECUESTRO EXTORSIVO,1,8
11049,2002-08-04,52,NARIÑO,52001,PASTO,SECUESTRO SIMPLE,1,8
11050,2002-08-04,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO SIMPLE,1,8
11051,2002-08-05,13,BOLÍVAR,13006,ACHI,SECUESTRO EXTORSIVO,4,8
11052,2002-08-05,44,LA GUAJIRA,44001,RIOHACHA,SECUESTRO EXTORSIVO,1,8
11053,2002-08-05,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO SIMPLE,2,8
11054,2002-08-05,68,SANTANDER,68655,SABANA DE TORRES,SECUESTRO EXTORSIVO,1,8
11055,2002-08-05,76,VALLE DEL CAUCA,76622,ROLDANILLO,SECUESTRO EXTORSIVO,1,8
11056,2002-08-06,5,ANTIOQUIA,5890,YOLOMBO,SECUESTRO EXTORSIVO,2,8
11057,2002-08-06,15,BOYACÁ,15720,SATIVANORTE,SECUESTRO SIMPLE,1,8
11058,2002-08-06,17,CALDAS,17614,RIOSUCIO,SECUESTRO EXTORSIVO,24,8
11059,2002-08-06,66,RISARALDA,66456,MISTRATO,SECUESTRO SIMPLE,1,8
11060,2002-08-06,73,TOLIMA,73001,IBAGUE,SECUESTRO EXTORSIVO,1,8
11061,2002-08-07,5,ANTIOQUIA,5360,ITAGUI,SECUESTRO SIMPLE,1,8
11062,2002-08-08,17,CALDAS,17614,RIOSUCIO,SECUESTRO EXTORSIVO,1,8
11063,2002-08-08,20,CESAR,20238,EL COPEY,SECUESTRO EXTORSIVO,1,8
11064,2002-08-08,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO SIMPLE,1,8
11065,2002-08-09,25,CUNDINAMARCA,25175,CHIA,SECUESTRO EXTORSIVO,2,8
11066,2002-08-09,41,HUILA,41001,NEIVA,SECUESTRO SIMPLE,1,8
11067,2002-08-09,50,META,50251,EL CASTILLO,SECUESTRO EXTORSIVO,1,8
11068,2002-08-09,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO SIMPLE,1,8
11069,2002-08-10,8,ATLÁNTICO,8078,BARANOA,SECUESTRO EXTORSIVO,1,8
11070,2002-08-10,20,CESAR,20400,LA JAGUA DE IBIRICO,SECUESTRO EXTORSIVO,1,8
11071,2002-08-10,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO SIMPLE,1,8
11072,2002-08-10,76,VALLE DEL CAUCA,76834,TULUA,SECUESTRO SIMPLE,1,8
11073,2002-08-11,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,8
11074,2002-08-11,5,ANTIOQUIA,5887,YARUMAL,SECUESTRO EXTORSIVO,1,8
11075,2002-08-11,19,CAUCA,19450,MERCADERES,SECUESTRO SIMPLE,1,8
11076,2002-08-11,54,NORTE DE SANTANDER,54398,LA PLAYA,SECUESTRO EXTORSIVO,1,8
11077,2002-08-11,70,SUCRE,70473,MORROA,SECUESTRO EXTORSIVO,1,8
11078,2002-08-11,73,TOLIMA,73268,ESPINAL,SECUESTRO EXTORSIVO,1,8
11079,2002-08-12,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO SIMPLE,3,8
11080,2002-08-12,50,META,50577,PUERTO LLERAS,SECUESTRO EXTORSIVO,1,8
11081,2002-08-12,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO SIMPLE,1,8
