DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
TOLIMA,SUÁREZ,73770000,ARMA BLANCA / CORTOPUNZANTE,18/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,SAN JUAN DEL CESAR,44650000,ARMA DE FUEGO,18/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOLÍVAR,ARJONA,13052000,SIN EMPLEO DE ARMAS,18/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,SIBATÉ,25740000,SIN EMPLEO DE ARMAS,18/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,FUENTE DE ORO,50287000,SIN EMPLEO DE ARMAS,18/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,CAPITANEJO,68147000,SIN EMPLEO DE ARMAS,18/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,TULUÁ,76834000,SIN EMPLEO DE ARMAS,18/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,BUGALAGRANDE,76113000,CONTUNDENTES,19/06/2019,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
BOLÍVAR,CARTAGENA (CT),13001000,SIN EMPLEO DE ARMAS,19/06/2019,NO REPORTA,NO REPORTA,HURTO ENTIDADES FINANCIERAS,1
BOLÍVAR,MAGANGUÉ,13430000,ARMA BLANCA / CORTOPUNZANTE,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,MORROA,70473000,ARMA BLANCA / CORTOPUNZANTE,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,EBÉJICO,05240000,NO REPORTA,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
